# scale  mvir rvir rs x y z vx vy vz Ax Ay Az b_to_a c_to_a Jx Jy Jz
### CHECK units:  1.0 1147000000000.0 Msun/h 215.053 kpc/h 18.813 kpc/h 63.67773 Mpc/h 61.61941 Mpc/h 70.21552 Mpc/h
0.4045 202100000000.0 146.689 32.623 62.81071 62.52144 66.87683 104.93 -63.35 236.24 0.94792 -1.38719 5.43058 0.84209 0.66775 128200000000.0 105100000000.0 19710000000.0
0.39938 192500000000.0 144.46 35.983 62.79545 62.53043 66.84383 105.87 -72.05 240.23 0.82548 1.49742 5.42744 0.76019 0.58813 106800000000.0 95570000000.0 17420000000.0
0.39432 182800000000.0 142.123 36.525 62.78044 62.54117 66.81059 104.76 -79.6 243.1 0.20369 2.54581 4.72943 0.65452 0.58289 85790000000.0 85950000000.0 11310000000.0
0.38933 168400000000.0 138.429 31.503 62.76537 62.55296 66.77743 105.5 -85.97 243.2 -0.43423 2.41096 4.74848 0.66193 0.5985 48240000000.0 69900000000.0 -8275000000.0
0.3844 157600000000.0 135.496 26.919 62.75059 62.56542 66.74422 95.08 -87.34 248.35 -0.8477 2.29423 4.61586 0.69919 0.62644 22740000000.0 60540000000.0 -29010000000.0
0.37953 143400000000.0 131.399 22.251 62.73644 62.57904 66.71219 97.47 -92.72 237.34 -2.03934 2.43814 4.16734 0.69246 0.61556 7878000000.0 40520000000.0 -40100000000.0
0.37472 136500000000.0 129.382 21.756 62.72368 62.59286 66.68087 98.66 -91.5 235.94 -1.9962 3.25579 3.79023 0.72644 0.59324 -3897000000.0 33830000000.0 -46090000000.0
0.36997 131400000000.0 127.843 22.156 62.70992 62.60595 66.64929 101.91 -85.16 240.6 -1.63678 3.45238 3.98065 0.72335 0.6027 -14930000000.0 29490000000.0 -49860000000.0
0.36529 127400000000.0 126.617 23.178 62.69656 62.61702 66.61602 102.36 -83.73 244.98 -2.16343 3.16165 3.58741 0.74806 0.65222 -20940000000.0 27250000000.0 -52760000000.0
0.36066 124900000000.0 125.862 24.273 62.68437 62.62687 66.58154 98.29 -82.55 247.86 -3.21291 3.23276 2.5564 0.72325 0.68611 -23190000000.0 27360000000.0 -53510000000.0
0.35609 122300000000.0 125.083 25.722 62.6711 62.6378 66.54795 100.13 -85.62 248.37 3.38147 -3.08257 -1.91318 0.73194 0.70117 -23630000000.0 28450000000.0 -53290000000.0
0.35158 118900000000.0 123.987 26.028 62.65771 62.64915 66.51316 100.71 -89.35 250.3 3.22594 -3.27292 -1.71214 0.74517 0.62536 -23170000000.0 28530000000.0 -52700000000.0
0.34713 114800000000.0 122.617 26.262 62.64006 62.66333 66.47993 100.46 -89.64 255.23 3.74241 -3.44486 -1.87822 0.69189 0.59268 -21920000000.0 25360000000.0 -50300000000.0
0.34273 110400000000.0 121.096 25.91 62.62752 62.67306 66.44321 103.16 -97.18 257.45 4.02082 -3.47799 -1.3831 0.7 0.58199 -21150000000.0 20950000000.0 -48690000000.0
0.33839 106300000000.0 119.684 26.92 62.6131 62.68416 66.40791 101.23 -90.82 255.52 4.20923 -3.45629 -0.68499 0.67017 0.56835 -20960000000.0 17580000000.0 -45940000000.0
0.3341 100900000000.0 117.664 26.775 62.59605 62.70107 66.37606 103.01 -78.88 252.35 4.70054 -3.47166 -0.36479 0.55413 0.58203 -15550000000.0 11810000000.0 -40730000000.0
0.32987 96000000000.0 115.803 27.106 62.57703 62.71392 66.34447 115.32 -69.35 245.69 5.89448 -3.61741 -0.62719 0.35834 0.46609 -12920000000.0 5389000000.0 -41150000000.0
0.32569 93490000000.0 114.847 27.314 62.56188 62.72282 66.31291 97.49 -56.63 245.79 6.70823 -3.00967 -0.81186 0.26934 0.43708 -9382000000.0 7579000000.0 -37860000000.0
0.32157 94170000000.0 115.184 28.335 62.57783 62.72076 66.27982 92.51 -88.84 226.78 7.40305 -2.4381 0.39673 0.38053 0.43226 -9328000000.0 20120000000.0 -34960000000.0
0.31749 92720000000.0 114.648 29.316 62.56535 62.73216 66.25146 107.42 -89.84 229.12 6.75204 -1.26932 1.70355 0.3745 0.42367 -7799000000.0 19020000000.0 -33770000000.0
0.31347 91630000000.0 114.251 26.356 62.54575 62.74492 66.22417 97.97 -74.16 246.11 5.78755 -1.39516 1.11512 0.69574 0.51117 -6386000000.0 13990000000.0 -29460000000.0
0.3095 89290000000.0 113.323 30.443 62.52425 62.75414 66.19058 136.89 -60.86 274.58 7.69238 -1.60698 -0.39437 0.30072 0.35896 -3877000000.0 8641000000.0 -27220000000.0
