# scale  mvir rvir rs x y z vx vy vz Ax Ay Az b_to_a c_to_a Jx Jy Jz
0.40969 216900000000.0 150.054 28.24 62.82605 62.51497 66.9097 101.03 -53.62 233.47 3.70744 -0.19316 7.16222 0.94974 0.79501 151800000000.0 129700000000.0 15440000000.0
0.4045 202000000000.0 146.688 32.012 62.81115 62.52243 66.87786 106.7 -63.33 235.89 1.45407 -1.71842 8.38226 0.83583 0.67211 123300000000.0 108000000000.0 20860000000.0
0.39938 192500000000.0 144.465 35.264 62.79543 62.53124 66.84467 107.46 -71.19 240.83 0.80414 1.74625 8.14274 0.78837 0.59358 103100000000.0 97620000000.0 18220000000.0
0.39432 182700000000.0 142.103 35.929 62.78049 62.54116 66.81079 105.67 -78.47 242.65 0.17243 3.83923 6.72515 0.67543 0.58706 84590000000.0 85920000000.0 11600000000.0
0.38933 169800000000.0 138.787 29.638 62.7699 62.55563 66.77907 107.5 -89.39 240.42 0.24985 5.1778 9.31422 0.76264 0.62974 52370000000.0 80130000000.0 -8366000000.0
0.3844 158000000000.0 135.615 27.38 62.7508 62.56445 66.74269 93.55 -87.27 248.66 -1.23355 3.25229 6.69048 0.7103 0.63028 25260000000.0 60580000000.0 -28580000000.0
0.37953 143500000000.0 131.438 22.11 62.7373 62.57873 66.7122 97.32 -94.2 236.76 -3.06036 3.42464 6.04137 0.70724 0.62636 9665000000.0 41520000000.0 -39590000000.0
0.37472 136500000000.0 129.366 21.546 62.72372 62.59285 66.68114 98.83 -91.59 235.94 -2.8908 4.80062 5.51558 0.74425 0.60126 -3250000000.0 33630000000.0 -45440000000.0
0.36997 131300000000.0 127.788 21.285 62.70734 62.60559 66.64716 100.43 -83.39 242.45 -2.72343 5.47235 6.70709 0.75505 0.61183 -14920000000.0 26360000000.0 -49470000000.0
0.36529 127300000000.0 126.593 22.205 62.69394 62.61687 66.61369 99.98 -80.79 247.19 -3.29924 4.84281 6.29205 0.77812 0.65613 -21010000000.0 24250000000.0 -52750000000.0
0.36066 124700000000.0 125.793 23.332 62.68153 62.62805 66.581 99.41 -81.1 249.11 -5.12532 5.24496 4.36179 0.74494 0.68288 -24140000000.0 25530000000.0 -53320000000.0
0.35609 122000000000.0 124.973 24.169 62.66856 62.6396 66.54844 99.64 -83.33 249.05 5.97382 -5.14026 -3.46783 0.70514 0.6923 -24820000000.0 26820000000.0 -52990000000.0
0.35158 118600000000.0 123.896 25.731 62.65768 62.64875 66.51371 97.83 -87.76 250.53 4.71812 -4.66503 -2.25019 0.74517 0.63479 -22800000000.0 27920000000.0 -52230000000.0
0.34713 114900000000.0 122.651 26.368 62.64124 62.66218 66.47939 100.32 -90.83 255.29 5.17983 -4.47532 -2.42198 0.7129 0.60237 -21820000000.0 25470000000.0 -50200000000.0
0.34273 109600000000.0 120.82 25.146 62.62579 62.67554 66.44411 106.18 -95.92 258.14 6.39262 -5.6608 -2.30689 0.69657 0.58479 -20380000000.0 20160000000.0 -48360000000.0
0.33839 106200000000.0 119.63 26.573 62.61278 62.6866 66.40835 105.45 -92.9 254.45 6.6622 -4.79381 -0.82791 0.63731 0.59212 -21020000000.0 16610000000.0 -46180000000.0
0.3341 101100000000.0 117.738 26.413 62.59657 62.70127 66.37656 104.25 -79.78 251.52 6.48491 -4.65732 -0.41368 0.57404 0.59914 -15740000000.0 11580000000.0 -40760000000.0
0.32987 96640000000.0 116.06 25.716 62.5787 62.71314 66.34418 112.5 -69.77 245.55 9.36703 -5.73218 -0.8624 0.39051 0.49506 -12740000000.0 6161000000.0 -40320000000.0
0.32569 93680000000.0 114.923 26.848 62.56197 62.72272 66.31305 97.68 -56.58 245.72 10.8839 -4.75346 -1.27361 0.28316 0.45234 -9184000000.0 7598000000.0 -37900000000.0
0.32157 94470000000.0 115.306 27.596 62.57758 62.72096 66.2804 91.05 -87.02 227.03 11.2205 -3.70271 0.81091 0.39069 0.44176 -8934000000.0 20090000000.0 -34480000000.0
0.31749 92930000000.0 114.736 28.513 62.56499 62.73254 66.25221 108.16 -88.22 229.85 9.80815 -1.81328 2.81488 0.38028 0.4471 -7434000000.0 18700000000.0 -33160000000.0
0.31347 91700000000.0 114.284 26.559 62.54683 62.74461 66.2241 97.35 -74.78 246.09 7.72921 -1.80054 2.06982 0.69877 0.51933 -6198000000.0 14420000000.0 -29640000000.0
0.3095 89880000000.0 113.574 29.34 62.52581 62.75422 66.19099 135.44 -63.47 273.75 11.2043 -2.60759 -0.63743 0.32722 0.37493 -4239000000.0 9689000000.0 -27830000000.0
0.30558 88550000000.0 113.061 39.476 62.5071 62.76219 66.15462 135.87 -57.39 284.84 12.6832 -0.90745 1.78464 0.24733 0.31103 -2939000000.0 5570000000.0 -25530000000.0
0.30171 87510000000.0 112.667 47.87 62.48906 62.77011 66.11787 135.33 -63.05 283.28 12.1898 0.40916 3.69262 0.27045 0.346 -3640000000.0 2362000000.0 -23880000000.0
0.29789 86040000000.0 112.079 57.944 62.4715 62.77826 66.08128 134.35 -66.36 279.22 7.23226 -0.122 -5.39644 0.62767 0.34588 -5373000000.0 -1168000000.0 -21390000000.0
0.29411 84320000000.0 111.375 70.286 62.45416 62.78666 66.04575 130.99 -67.45 271.18 -5.05672 -0.41839 7.62535 0.47788 0.30937 -6041000000.0 -4147000000.0 -19930000000.0
0.29039 81910000000.0 110.345 77.727 62.43708 62.79508 66.01208 124.33 -67.15 259.54 -2.86181 -1.47365 8.81494 0.47241 0.26696 -6036000000.0 -7020000000.0 -19990000000.0
0.28671 79160000000.0 109.137 78.001 62.42102 62.80375 65.98015 122.13 -66.53 243.73 -0.37384 -2.49728 8.76259 0.50666 0.25906 -5781000000.0 -14500000000.0 -20840000000.0
0.28308 77690000000.0 108.5 74.218 62.40628 62.81244 65.95067 113.83 -63.75 225.76 2.28667 -3.5311 8.42934 0.48078 0.29386 -3041000000.0 -20310000000.0 -21390000000.0
0.27949 77460000000.0 108.43 68.533 62.39246 62.8208 65.92348 102.8 -57.81 209.23 5.00803 -4.03269 6.76139 0.4537 0.30618 1930000000.0 -25800000000.0 -25720000000.0
0.27595 78690000000.0 109.04 62.24 62.38079 62.82809 65.89914 86.86 -47.73 192.28 7.19185 -4.74879 4.26363 0.42752 0.27107 9140000000.0 -31620000000.0 -33970000000.0
0.27246 80170000000.0 109.753 54.507 62.37123 62.83382 65.87691 69.5 -39.62 179.82 8.26451 -3.96936 1.42508 0.41189 0.2845 15580000000.0 -37360000000.0 -42300000000.0
0.26901 74640000000.0 107.203 40.37 62.36405 62.8382 65.85641 48.57 -38.36 174.04 9.24813 1.62807 0.56722 0.60454 0.33282 13710000000.0 -36950000000.0 -41560000000.0
0.2656 71750000000.0 105.835 33.486 62.35973 62.84256 65.83649 28.43 -43.44 176.68 7.6119 9.30931 0.33544 0.33759 0.44892 13080000000.0 -36530000000.0 -41120000000.0
