# scale mvir dist vel rvir rs vmax rvmax x y z
0.31749 182500000.0 0.6386789763663536 63.613206156171024 14.368 1.25 16.14 3.48114 62.22792 62.75409 66.79427
0.31347 181200000.0 0.6279222987169092 40.24691942060333 14.342 1.225 16.15 3.80514 62.21929 62.76178 66.75955
0.3095 179600000.0 0.6204461040870688 68.47627771831856 14.304 1.279 16.18 2.90351 62.21066 62.76932 66.72522
0.30558 178200000.0 0.6171310553098444 69.55467065641787 14.275 1.341 16.13 3.31214 62.20193 62.777 66.69081
0.30171 176600000.0 0.6149051474844167 68.77136319077387 14.239 1.467 15.91 3.66853 62.19315 62.78468 66.65669
0.29789 175900000.0 0.6132486295889447 65.86708146878894 14.226 1.433 15.93 3.36544 62.1844 62.79229 66.62299
0.29411 175400000.0 0.6110148220347686 61.638946831709106 14.218 1.514 15.89 3.46226 62.17563 62.79985 66.58943
0.29039 174300000.0 0.6076722353701801 55.4139724442602 14.194 1.629 15.85 3.60154 62.16681 62.80739 66.5562
0.28671 172800000.0 0.6033923268643319 56.49209918842944 14.159 1.553 15.77 4.15549 62.15823 62.81495 66.52319
0.28308 172300000.0 0.5977443308107914 59.1430206193107 14.15 1.614 15.67 4.93582 62.14957 62.82254 66.49039
0.27949 171200000.0 0.5906883067154551 63.846489758054986 14.125 1.666 15.64 3.41823 62.14098 62.83008 66.45788
0.27595 171100000.0 0.5821999823176471 74.22685929419399 14.127 1.819 15.57 3.48732 62.13235 62.83767 66.42558
0.27246 171700000.0 0.5729068185005455 86.03824780122491 14.148 1.926 15.63 4.27683 62.12372 62.84521 66.39346
0.26901 170900000.0 0.5634884624494206 92.74483050512784 14.13 1.921 15.82 3.65346 62.11504 62.85278 66.36168
0.2656 170700000.0 0.5553480143818627 95.45227125823135 14.128 1.861 15.8 3.76634 62.1064 62.86035 66.33037
0.26223 168200000.0 0.5491727582347475 98.69882523742166 14.063 1.764 16.05 4.25837 62.09771 62.86792 66.29929
0.25891 168800000.0 0.5456933909744316 87.83472534126356 14.084 1.725 16.19 4.08311 62.08922 62.87539 66.26836
0.25563 168200000.0 0.5445920997067198 79.31606107984047 14.071 1.693 16.14 4.23917 62.08081 62.88292 66.23785
0.2524 167400000.0 0.5459551672581814 72.2761118618171 14.052 1.747 16.4 5.74763 62.07229 62.8905 66.20775
0.2492 167600000.0 0.5489121964272974 65.76487257742188 14.063 1.753 16.5 5.1805 62.06382 62.89808 66.17787
0.24604 169000000.0 0.5530305986450305 64.54469445990487 14.104 1.786 16.33 5.33079 62.05533 62.90566 66.14835
0.24292 169800000.0 0.5570102679030691 63.37642778618898 14.131 2.095 16.08 6.46266 62.04665 62.9132 66.11886
0.23985 169300000.0 0.5610884028736244 59.885631726282085 14.118 2.282 16.0 4.49945 62.03788 62.9208 66.08964
0.23681 169800000.0 0.5646697672558235 55.46962885263288 14.136 2.258 16.05 4.29067 62.02913 62.92842 66.06072
0.23381 181600000.0 0.5686279927730669 50.011419307811245 14.461 2.698 16.08 4.78455 62.0204 62.9359 66.03196
0.23085 179500000.0 0.5743757102535993 49.01123733225762 14.407 2.702 16.24 4.59854 62.01171 62.94343 66.00347
0.22792 171900000.0 0.5767636535823009 44.50873867962088 14.203 2.458 16.37 3.64601 62.00305 62.95086 65.97516
0.22504 164100000.0 0.5782381376249351 41.15543218937073 13.987 2.183 16.52 4.32509 61.99439 62.9584 65.94698
0.22219 154600000.0 0.581519258141998 41.70677565966627 13.714 2.017 16.29 4.24559 61.98583 62.96588 65.91912
0.21937 159700000.0 0.5837168464747754 43.13128631923756 13.866 2.422 16.18 5.30614 61.9774 62.97338 65.89159
0.21659 160800000.0 0.5851804949945684 43.904786800853465 13.901 2.854 16.03 4.59108 61.96905 62.98087 65.86428
0.21385 151100000.0 0.5875481714387686 41.34790167602608 13.619 2.676 15.88 5.20807 61.96065 62.9883 65.83723
0.21114 146800000.0 0.5897319127205518 35.197221580871656 13.491 2.595 15.82 4.38616 61.95226 62.99583 65.81017
